user_id,Recency_score,Frequency_score,Monetary_score
5a816c24b208f7181469b030,5,5,3
59048490836872e94257b921,5,4,5
59ed6cadd7c5b148cc9b0d39,2,5,5
5a993c276432e9136c260b26,2,5,5
5a6308bf69ff9520384b1915,5,5,3
59911b684029934dec5cca65,4,5,5
59de06645d286c1f50674915,4,5,4
59048267836872e94257a0ce,4,5,4
5975bd5cc9344d6ea8c2c2d5,4,5,4
5a7ee58eaad86a10d886fe95,2,5,5
5a75395084425d130871ab71,1,5,5
5a8e5341a1fbea24ec25a9ef,5,5,3
5aa3c33bad94dc276c46f92e,4,5,4
5a4d99eab07e3708c82b2f41,4,5,4
5a029559b157ac0bf0055396,4,5,4
5a1d2ede1fe7bb233822a911,5,4,5
5ab310b2f16ac7032cf0086e,5,3,5
5a540359ca726521788aa465,2,5,5
5a0ffe5337966d4e2847203f,5,5,3
5a1be78ce188d86464511a8c,5,5,3
5a94f9ae81e1c60e4cd087d5,3,5,5
597fdd5728cd6667b45ab967,5,4,5
5a76d895131c3b1bd0cbc20f,4,5,4
590484d0836872e94257be50,5,5,3
5a436457517dd01550d16240,5,5,3
59048267836872e942579d78,5,5,3
5a68100904dcdd2ce4c4ef32,2,5,5
5962362f0dd3841ac8d3daa3,5,5,3
5aaca30cca6c5a20f84bb4bc,5,5,3
5a72f7f2940e90340445e7b0,1,2,5
590484d0836872e94257bdec,4,5,4
59dee09b14c0b634b08f5483,5,5,3
5a697343f378fc258c6d106b,4,5,4
5904845c836872e94257b5e3,5,5,3
590484d0836872e94257bc2a,5,3,5
5a8b8864ae38ac1bfc1704c2,5,5,3
5a2534ca907a154a44c2111b,5,3,5
5a1be9f7e188d86464511adb,4,4,5
5a2a6e05baff177dbc1cba19,4,5,4
5a77d382131c3b1bd0cbc5f1,5,5,3
5a520a2d59a7c709307bd153,5,5,3
5a227769f9f62317688bf227,5,5,3
5a8f8a18a1fbea24ec25ae78,4,5,4
597d681640426e3850abb137,5,5,3
59048267836872e94257a012,5,4,5
5a694e39f378fc258c6d0e5f,2,2,5
