R,F,M,y,user_id
1,5,5,0,5968bd094999581a6485623d
3,3,5,1,59606bc602ee8f2cbc2c6eb3
5,3,5,1,59e87dd5c6393557e41a2b6f
5,4,4,1,59718a97a9a9ae246808bc26
3,5,4,2,5a72e8f4940e90340445e686
4,4,5,1,59ba29170367851634d29404
5,4,4,1,5904845c836872e94257b474
4,5,3,2,595c8454f31a6623481dc9a3
2,5,5,2,5961c73cc0bb291cccc5cb7a
2,5,5,2,5a3506f8d84ca6688c3c92c8
3,5,4,2,596c4031bb0e8d1ecc2d0b11
4,5,3,2,598bf2ef44d41428b4c57f12
4,5,3,2,5a7bfc005a517f1c2895bc75
4,4,5,1,59048232836872e942579c8d
5,5,2,2,590482f1836872e94257a4e1
1,5,5,0,596480b72242ea5414de226c
5,4,4,1,5ab358b5f418382968787ce0
5,4,4,1,5ab2031b802e9b26944f4a64
4,4,5,1,5a0ebc6d8d230f3e6c104d2a
4,5,3,2,5a6dbf6e74860f25a42facb7
3,5,4,2,5a9f7d4dfe044a15d0962d59
5,1,5,1,59eec9ad4dbf70325819e42e
3,5,4,2,5992db8a949a4335208f793d
5,3,5,1,5abaf5dbb542752a94bbea07
3,4,5,1,5aa90fda258c5b265807e4f2
4,4,5,1,5a7818f1fe098c1c4099bcd1
5,4,4,1,5970165b8eded92f6cec646d
4,5,2,2,599bd2e4e72cd815f86ce35b
5,3,5,1,5aaf538734569109b0bf69e4
2,2,5,0,5a9669f5b4f84d0f800af000
3,3,5,1,59048490836872e94257b9a1
4,4,5,1,5aa5eca8ad94dc276c470212
4,5,2,2,5a2bad4ce56a6418144bf655
3,5,4,2,59048267836872e94257a079
5,4,4,1,5ab084389f1525201c3d885b
3,5,4,2,5a728417940e90340445df34
3,2,5,1,5aaa5af2050cfc122c56bd83
2,5,4,2,5a28f2b644ca6529f4193ec8
4,5,2,2,5aa75bee56077914f4eee323
5,4,4,1,5a158206fb393367e0b1d699
3,5,4,2,5904837e836872e94257aa52
1,5,5,0,59ccada5e9cffb67c0b35118
4,5,2,2,5a3e136159ffc3059c310d43
5,4,4,1,59048410836872e94257b318
4,3,5,1,5904845c836872e94257b392
3,4,5,1,5a7428ee84425d130871a73e
3,2,5,1,5aa08e71fe044a15d0963179
4,5,2,2,5a98c89dfda9ae0b68fa3e7c
4,5,2,2,5985bc77fb466114b0a0233a
3,5,4,2,596051624c78ad48683c7331
5,5,2,2,5aa21bf73ba4b01228eb7f46
1,5,5,0,59c633da88970f2584bbe247
4,3,5,1,5992ee32949a4335208f79fa
3,3,5,1,5aaa47fb050cfc122c56bc46
5,5,2,2,5a1fb1e2e76702115c56b937
4,4,5,1,5a9e6bdbfe044a15d0962944
3,5,4,2,590484d0836872e94257beab
2,5,4,2,5a5de9c13d3f111598895aff
5,4,4,1,59b4b54fdfa0fb1ca0f4fcaa
2,4,5,0,595c5e4cf31a6623481dc7a7
5,3,5,1,5a327ff892849f4b089a756e
3,4,5,1,59572ce0e6eefc0f30e83518
4,5,2,2,596609c76b3ece0ee428a04d
3,5,4,2,5a60b4d48d83da293894fc8e
5,4,4,1,5a5ecab83d3f111598895e93
3,5,4,2,58d0fd0a07ba2022e463c23b
4,4,5,1,59abbfcb6ce0f717c0200f87
5,5,1,2,59549c1c7a2d752fcc052542
1,5,5,0,5a6ef55a74860f25a42fb3de
4,5,2,2,5a1ccb10e041c83354299a61
4,3,5,1,5ab308c1f16ac7032cf0085a
3,3,5,1,5aa254b43ba4b01228eb80f2
1,5,5,0,5a6ed4df74860f25a42fb2ee
4,5,2,2,5aa64a76ad94dc276c4705aa
2,5,4,2,5a896b07ae38ac1bfc16ff64
5,4,4,1,59958030310dfa339413e75f
5,5,1,2,5a3a3f2e364bfd22e00779a1
1,5,5,0,5a727f47940e90340445dee8
2,5,4,2,59e04faf35c2c22d90d72d41
4,3,5,1,5aa0b8ebbfc1001ac08c21d3
4,4,5,1,5a39fe3edf385b5a6051ab1e
3,5,4,2,5981fc4db062ba5770ae77fb
4,5,2,2,59de3a63d1c5f4242c70566f
5,3,5,1,5a9d1eb7173a1312a4c1a7a9
3,3,5,1,59c7103e88970f2584bbe42a
3,4,5,1,59d46946f2a7f6163cd4aadb
2,5,4,2,5a7c33e45a517f1c2895bf5b
2,5,4,2,5a1b7ee61c8bb56edc2a223f
3,5,4,2,5a61f1ed69ff9520384b12b4
3,4,5,1,5a70381127f2fb15dc2cbe6c
5,4,4,1,590484d0836872e94257bf26
1,5,5,0,59048410836872e94257b273
2,4,5,0,5a432298dc408a1afcda0fbe
3,5,4,2,5a1fa1fdf430021610574df0
5,5,1,2,595f4dc94c78ad48683c6fb2
5,1,5,1,5abe15d55652022fa06c8033
1,5,5,0,5a588e982ed6311e7cf3dffa
4,5,2,2,5a51cf8b16605d13d45a8b89
3,5,3,2,5958b14309f65c43c0107949
5,4,4,1,590484d0836872e94257befc
2,5,4,2,5962e6ed0dd3841ac8d3db04
4,5,2,2,59048490836872e94257b7ab
4,4,5,1,5a06e8bb10d004552430ae5d
3,5,3,2,5a5c699c54d2900b9c1312ec
4,5,2,2,59844856fb466114b0a01937
5,5,1,2,5982c38e9e831c18343cfe28
5,4,4,1,5aaf2b6534569109b0bf67ad
2,5,4,2,5a3f821581857815001e210f
5,4,4,1,59048267836872e942579f5f
2,2,5,0,59b68844cdb9d6174c916221
2,5,4,2,5a6ef81474860f25a42fb405
5,3,5,1,595e1ccbf31a6623481dd436
4,4,5,1,5aa273c4197e391bdca86f59
2,5,4,2,59ec1737b3b7fd36241f8556
3,5,3,2,5a30b05a8010a1133482bc0f
5,3,5,1,5ab9bd3dfb3da02c7462ec1b
5,4,3,2,5a45de470ffaba1f88b83b59
1,5,5,0,5a7fc567aad86a10d8870115
3,3,5,1,5a9d101d173a1312a4c1a714
3,4,5,1,598c234a44d41428b4c58078
1,5,5,0,5a7c24085a517f1c2895be13
2,5,4,2,5a11772574bb4b63a4c8a5ac
1,2,5,0,5a803babb208f7181469ab2a
2,5,4,2,59df28dd0b73145164709a12
4,5,2,2,59df1597891e604b48e4af98
3,5,3,2,5a3fcea881857815001e22fb
2,5,4,2,5958691b34c6b5340c4191fa
5,4,3,2,5a10f7a816fd7831dcc21f03
5,4,3,2,59048267836872e942579f44
3,4,5,1,5a253796907a154a44c2113f
1,5,5,0,5a21409ffee8fa1c5cd73bf1
1,5,5,0,5a72cde2940e90340445e4d5
2,4,5,0,5a7589b47fcc331640233b1b
2,4,5,0,5a8eb4dda1fbea24ec25acf1
5,4,3,2,5a22bb5704dedb26687116e3
3,5,3,2,59048232836872e942579ab9
5,5,1,2,59048267836872e94257a078
2,4,5,0,5a964b0ab4f84d0f800aef0c
4,5,2,2,590483c0836872e94257ac1a
4,4,4,2,590484f8836872e94257bfca
5,5,1,2,599faa92904e780ac0ecbf7d
1,2,5,0,5a73da26e803482760d2efc3
4,2,5,1,590484d0836872e94257bbad
5,3,5,1,5a9bbeb2de402c0bb845f404
2,5,4,2,59c37c7bedb5782b68a607cb
2,5,4,2,590484d0836872e94257bd0d
3,5,3,2,597eaa5f28cd6667b45ab286
3,5,3,2,59578da634c6b5340c418f05
5,3,5,1,5a111c1516fd7831dcc2218b
4,5,2,2,5a32caa192849f4b089a7606
4,5,2,2,5998f4fd491fd95338459ccc
2,5,4,2,595491ce685f8f258072f7c1
5,1,5,1,59c9f440adf04a61a0bb6fed
4,4,4,2,5aa9e7d5d2e28e2090e25bc2
4,5,2,2,5a47a824064a1b2708010ab9
3,5,3,2,597ade1f40426e3850aba480
2,4,5,0,5a48d11862203c1dc08612c8
3,5,3,2,5a2f5ccc30623a1310f4531a
3,4,5,1,5a03d5be879f004078d4e5fd
2,4,5,0,5979808acf5e49726030fe23
1,5,5,0,5a389a912b33b36bdc9f1bb9
5,5,1,2,59e622dd4922115968f3d554
5,4,3,2,5ab638687b988a2798908be2
3,5,3,2,59587f8c3fff1c4268199212
1,5,5,0,59f1b6bb9a38da37f84a0850
3,5,3,2,5a9a7dd110f62e1bec6e70d7
3,4,5,1,5985a0fffb466114b0a02182
5,3,5,1,595ddee6f31a6623481dd13c
4,5,2,2,5a51b6a265e23415683bd7ba
4,3,5,1,59a2a0146b95690d285730d9
5,1,5,1,5abb8a035652022fa06c730b
3,4,5,1,59048267836872e942579e8e
2,5,4,2,59c09d477d81f40ebc9a6c3a
3,5,3,2,590484f8836872e94257bff9
2,5,4,2,5a79a1d7c278d318cc5655c5
2,2,5,0,59a6a9d5f1cd3b1b3cd6a04c
3,4,4,2,59af5df2761fa71d887ccef1
2,5,4,2,59eab49aaa3fe7574c663ec5
1,5,5,0,5a535f2d15a1101e849295db
2,4,5,0,5a6454cb60fc470d00ebe6c1
4,5,2,2,5a1020d716fd7831dcc21d1f
3,4,4,2,5a680d7f04dcdd2ce4c4eeef
5,3,5,1,5a96916db4f84d0f800af157
2,2,5,0,5a913d7f64a7cc16fca2cde3
5,5,1,2,5a4627a4417c0920384c834a
1,5,4,0,5a75473884425d130871acb7
4,3,5,1,59b2462ae73f201f6422653d
3,4,4,2,5a7309ee940e90340445e91c
5,3,5,1,5ab9ad78364f082124089564
5,5,1,2,5aa07e54fe044a15d0963171
2,4,5,0,5a6c0e320fb7e333d8586a8d
3,5,3,2,5a275d4fad937d1814e1be0d
2,4,5,0,59685dfa4999581a64855f84
2,4,5,0,59e551058e546617381b976c
5,5,1,2,599d9f7fb70396151c213cb2
5,4,3,2,5a9a08256432e9136c260bf2
5,3,5,1,5aa90bb76bfdc51c40542510
5,4,3,2,5ab327fbf418382968787a05
5,4,3,2,5a2fd0e08010a1133482b874
3,3,5,1,5a0437a6aa8a21396c2397bc
3,5,3,2,5904845c836872e94257b612
3,5,3,2,5a76bce1131c3b1bd0cbc048
5,5,1,2,5a8fbc6e630b372bec1bf27f
4,3,5,1,5985394dfb466114b0a01c0e
4,4,4,2,5a51b93365e23415683bd80e
3,3,5,1,5966ed6d6b3ece0ee428a252
4,3,5,1,5a0e5bd14943c34f10564e8c
4,4,4,2,59e5e1124922115968f3d3fe
3,5,3,2,590482f1836872e94257a2f0
3,5,3,2,5a2f664230623a1310f453c4
4,2,5,1,5a06d38d10d004552430ad22
4,5,2,2,590482f1836872e94257a513
3,3,5,1,59f14e159a38da37f84a0267
4,3,5,1,5aace742ca6c5a20f84bb7bb
3,4,4,2,59f31fe33a82591028b3689e
4,3,5,1,5aa5f24bad94dc276c47024b
5,3,5,1,59048267836872e942579e6d
2,5,4,2,5a8fb041630b372bec1bf238
3,2,5,1,5a1a30fcf377f477c494c16d
2,2,5,0,5a993f246432e9136c260b5a
4,4,4,2,5aacd390ca6c5a20f84bb6b2
5,4,3,2,59048410836872e94257af9d
3,5,3,2,5960bef32b041b1ef4e60869
3,2,5,1,59048267836872e942579eb3
4,3,5,1,5aa63fe9ad94dc276c47054b
4,4,4,2,5aaf71e234569109b0bf6adc
2,5,3,2,5a33aec092849f4b089a7edc
3,5,3,2,5a890768ae38ac1bfc16fda0
5,4,3,2,5980054c28cd6667b45abae6
1,5,4,0,598e9af42fbb7a42303f400a
3,5,3,2,59e47cf52cc6804df090bacf
5,3,5,1,5aab7c249014db2948169769
1,5,4,0,59cb62d3adf04a61a0bb76a6
3,5,3,2,596d7589c05fc7425cdcddec
1,5,4,0,5958787634c6b5340c419320
2,5,3,2,590484d0836872e94257bc4a
5,3,5,1,5ab041d134569109b0bf6d7f
3,2,5,1,59da0f73d707e925e0d2b8ac
5,3,5,1,59048232836872e942579bc0
1,2,5,0,596c3ea4bb0e8d1ecc2d0b03
4,5,2,2,5a16452cfb393367e0b1d811
3,5,3,2,59048232836872e942579b17
3,5,3,2,59048267836872e942579ea5
2,5,3,2,5a0d49dc9d155f4334e5bf2c
5,1,5,1,5ab715b17b988a2798908da3
2,5,3,2,5a0fe3f637966d4e28471f4f
4,4,4,2,5a8d4967a1fbea24ec25a634
4,4,4,2,599a948ee72cd815f86cdc34
1,5,4,0,590483c0836872e94257af33
1,2,5,0,5a5c89ecc09839206cb7815a
1,5,4,0,5a7311b0e803482760d2ee9d
5,5,1,2,598c2a99775884140c6920e0
5,4,3,2,595732c3e6eefc0f30e835a1
5,3,5,1,5a5489f32092172110e97242
4,5,1,2,5a7bd7c35a517f1c2895bad0
4,4,4,2,5a0ac62f3f70e678a02ef552
2,2,5,0,5a8a3fe9ae38ac1bfc170077
3,3,5,1,5aa9e234d2e28e2090e25b67
5,4,3,2,5a73120de803482760d2ee9f
5,5,1,2,5904831b836872e94257a631
